source,id,label,caption,url
ww,014744,_ showing _ a moon stone,"_, advisor to President _, touches a stone from the moon that former astronaut _, left, collected during the Apollo 17 mission, just after President _ signed the Presidential Space Directive - 1, directing NASA to return to the moon, in the Roosevelt room of the White House in Washington, Monday, Dec. 11, 2017.",
ww,016447,_ speaking to _,"Lt. Gen. _, Multi-National Corps-Iraq commander, praises the courage and sacrifice of the six Purple Heart and 13 Corps Commander's coin recipients assigned to 4th Battalion, 6th Infantry Regiment, 4th Brigade, 1st Armored Division during a recent visit to Contingency Operating Site Garryowen.",
ww,017612,_ laughing with _,"Dr. _ (wife of Vice President _) and White House Assistant Pastry Chef _ help children plant scarlet runner beans in the State Dining Room of the White House in Washington, D.C., on May 12, 2014.",
ww,018075,_ contesting the ball with _,"_ and _ contest the ball during the AFL round two match between Richmond and Collingwood on 30 March 2017 at the Melbourne Cricket Ground in Melbourne, Victoria.",
ww,018980,_ piloting a space shuttle with _,"NASA astronauts _ (left), STS-134 commander; and _, pilot, occupy their respective stations on the forward flight deck of space shuttle Endeavour during rendezvous and docking operations with the International Space Station on flight day three.",
ww,022776,_ giving an award to _,"_ was awarded the Transport Trust Lifetime Achievement Award by Prince _ of Kent in recognition of over thirty years of dedication to the preservation and operation of Britain's only airworthy Boeing B-17 Flying Fortress, the 'Sally B'. _ somehow manages to keep this very expensive to run warbird in the air as a flying memorial to the tens of thousands of American aircrew who lost their lives in her sister aircraft during the Second World War.",
ww,025157,_ lecturing to _,"_, former head of Digital Media at Imperial War Museum, UK and _, former head of Digital Media at National Gallery, London and President at Museum Computer Network (MCN) guided the participants on how to create a digital engagement programme in museums of India.",
ww,028885,_ wrestling _,"_ (standing) executing a spinning backfist against _ at Alpha-1 Wrestling's Watch the Throne 3 show in Hamilton, ON",
ww,031271,_ shaking hands with _,_ welcoming _ to ministry of foreign affairs of Greece.,
ww,032959,_ talking with _,"Show car driver, _, left talks with _ from Hampton, Va., during the 61st Annual CIAA tournament.",
ww,035853,_ showing a plaque to _,Foreign Secretary _ announced that the southern part of the British Antarctic Territory had been named ‘Queen _ in honour of The Queen’s sixtieth year on the throne.,
ww,036585,_ posing in wrestling gear with _,_ as Ax left with _ as _ (1) in 1991.,
ww,036884,_ giving _ a high five,Seattle Mariners outfielder _ (right) high-fives teammates after a first-inning home run against _ of the Oakland Athletics.,
ww,037670,_ bicycling with _,"_ pulling _ over Skyline Blvd, just after the Tunitas Creek KOM, during Stage 2 of the 2009 Tour of California.",
ww,038220,_ pushing past _ in a game of basketball,Missouri guard _ pushes past Texas A&M's _.,
ww,038398,_ handing a prize to _,Wikimedia Foundation International Community Advocate _ (La Kritzolina) handed over the prizes.,
ww,039018,_ shaking hands with _,"_, OK, May 6, 1999 -- _, Director of FEMA is thanked by resident, Mrs. _. The _ lost their home and possessions.",
ww,039055,_ performing music with _,"Italian singer _ rehearsing for his act in the TV show ""SRF bi de Lüt"" live from Schwyz.",
ww,039969,_ shaking hands with _,"U.S. Secretary of Defense _, left, exchanges greetings with Gen. _, center, the crown prince of Abu Dhabi and the deputy supreme commander of the United Arab Emirates (UAE) armed forces, and Sheik _, the UAE minister of foreign affairs, in Abu Dhabi, UAE, April 25, 2013. _ was on the last stop of a six-day trip to the Middle East to meet with defense counterparts.",
ww,042636,_ making a press statement with _,"President _ and Her Excellency _, Prime Minister of the Kingdom of Thailand, issues a Joint Press Statement at the President's Hall, Malacañan Palace during the Official Visit to the Republic of the Philippines Thursday January 19, 2012.",
ww,042702,_ practicing basketball with _,"SAN DIEGO (Nov.10, 2011) University of North Carolina basketball players _, left, and _, right, practice aboard the Nimitz-class aircraft carrier USS Carl Vinson (CVN 70). _ is hosting the Michigan State Spartans and the University of North Carolina Tar Heels for the inaugural Quicken Loans Carrier Classic basketball game on Veteran's Day, Nov. 11.",
ww,043052,_ posing for a photo with _,_ approves of my Ninja Skills,
ww,046497,_ giving _ a present,"Major _ Felicitated By The Hon'ble President Smt _ at Rashtrapati Bhawan, New Delhi",
ww,046608,_ blessing _ and his motorcycle,"_, command chaplain at Naval Hospital Jacksonville, and Lt. _, chaplain at Naval Air Station Jacksonville, bless Chief Damage Controlman _, left, and his Honda Gold Wing motorcycle as Capt. _, commanding officer of Naval Air Station Jacksonville, looks on during the annual Naval Air Station Jacksonville Safety Rodeo.",
ww,046918,_ giving a certificate of appreciation to _,"_, left, is presented a certificate of appreciation from Maj. Gen. _, U.S. Army Reserve Command deputy commanding general for operations after her one-woman show, ""Women: Back to the Future"" at the U.S. Army Forces Command and U.S. Army Reserve Command headquarters at Fort Bragg, N.C., March 17, 2015. Portraying _, _ and _, _ dressed in period clothing and shared the women's stories in song and monologues to show how they overcame gender-based and societal obstacles to achieve personal and historical success. “Women’s stories have been there all along, we just have to be willing to dig to find them, ” said _.",
ww,048167,_ giving _ an award and shaking his hand,"150322-N-ZZ999-016 ATLANTIC OCEAN Commander, Carrier Strike Group 12 Rear Adm. _, left, presents a token of appreciation to the Swedish Minister of Defence _ aboard Nimitz-class aircraft carrier USS _ March, 22, 2015. _, homeported in Norfolk, is conducting naval operations in the U.S. 6th Fleet area of operations in support of U.S. national security interests in Europe.",
ww,048193,_ competing for the football with _,_ kicking away from _ in the AFL Women's preseason match between the Adelaide Football Club and Fremantle Football Club on 20 January 2018 at TIO Stadium.,
ww,050500,_ playing football with _,"_, (54) offensive guard, creates a window for _ (25).",
ww,055178,_ competing for a soccer ball with _,_ of the Seattle Sounders crosses the ball in front of _ of the Chicago Fire.,
ww,055533,_ talking and smiling with _,"_ asks U.S. Air Force Tech. _ a question during a visit to Bagram Air Base, Afghanistan, Nov. 14, 2008. _ employs U.S. Army Reservists on tap to deploy to Afghanistan and flew to Bagram Air Base with Vice Chairman of the Joint Chiefs of Staff U.S. Marine Gen. _, who was visiting troops. _ is a Reservist from the 944th Aeromedical Staging Squadron deployed to Afghanistan.",
ww,056467,_ participating in a press conference with _,"Expedition 50 ESA astronaut _, left, and backup crew member ESA astronaut _ are seen in quarantine behind glass during a crew press conference, Wednesday, Nov. 16, 2016 at the Cosmonaut Hotel in Baikonur, Kazakhstan. _, NASA astronaut _, and Russian cosmonaut _ of Roscosmos will launch from the Baikonur Cosmodrome in Kazakhstan the morning of November 18 (Kazakh time.) Photo Credit: (NASA/_)",
ww,057653,_ sitting and talking with _,"HONOLULU, Hawaii - Lt. Gen. _, commanding general, U.S. Army, Pacific, and Lt. Gen. _. _, Indian Army director of general military operations, spent a week reviewing and planning during the 13th annual Indian Executive Steering Group (ESG).",
ww,060158,_ interviewing _,"_, The New York Times' Pentagon correspondent, interviews Defense Secretary _ aboard a G-5 aircraft headed for West Point, New York, April 21, 2008.",
ww,063895,_ performing music with _,"Country music star _ entertains the troops during a USO Holiday Troop visit put together by Adm. _, Chairman of the Joint Chiefs of Staff and his wife, at Camp Victory, Baghdad, Iraq, Dec. 18. _ joined tennis star _, tennis coach _, and comedian _ in a USO tour of Afghanistan and Iraq. _)",
ww,066025,_ grappling over the ball with _,_ handballing away from _ and _ in the AFL Women's preseason match between the Adelaide Football Club and Fremantle Football Club on 20 January 2018 at TIO Stadium.,
ww,066429,_ shaking _'s hand,"Maj. Gen. _ (left), commanding general of the 1st Cavalry Division, shakes the hand of Sgt. _, a soldier assigned to the 115th “Muleskinner” Brigade Support Battalion, 1st “Ironhorse” Brigade Combat Team of the 1st Cav. _, 1st BCT, 1st Cav Div Public Affairs)",
ww,068944,_ slicing a cake with _,"From left to right, Army Col. _, the oldest soldier serving in the Military District of Washington, Army Chief of Staff Gen. _, Defense Secretary _, Army Secretary _. _, Sgt. Maj. of the Army _, and Pfc. _, the youngest soldier assigned to the Military District, use a saber to slice through a cake marking the Army's 236th birthday at the Pentagon, June 14, 2011.",
ww,069166,_ playing soccer with _,_ keeping goal of Konak Belediyespor in the 2017-18 season's away match against Beşiktaş J.K.,
ww,070350,_ fencing with _,_ of Italy (L) fences against _ (R) in the final of the 2014 Challenge International de Paris (men's foil World Cup).,
ww,070996,_ changing the shoulder boards of _,"WASHINGTON (Nov. 17, 2011) Rear Adm. _ wife _ and son, Midshipman 3rd Class _, and three younger children change his shoulder boards during a promotion ceremony at the Washington Navy Yard before a change of command ceremony in which _ relieved _. _ as the 24th Chief of Naval Research. _ graduated from the Naval Academy in 1982 and has qualified in the E-2C Hawkeye and the F/A-18 E/F Super Hornet.",
ww,071225,_ congratulating _,"Maj. _ and Lt. Gen. _, commanding general, U.S. Army Reserve Command, congratulates Army Reserve soldiers following a re-enlistment ceremony at Bagram Air Field, Afghanistan, April 25, 2013.",
ww,075023,_ battling _ for the ball,_ battles _ for the ball at Avaya Stadium on 11 April 2015,
ww,076067,_ playing basketball with _,Australian ID basketballer _ shoots during 2000 Sydney Paralympic Games match,
ww,076762,_ administering an oath to _,"Army Lt. Gen. _, chief, U.S. Army Reserve and commanding general, U.S. Army Reserve Command, administers the oath of enlistment to 60 U.S. Army Reserve soldiers during the fifth annual U.S. Army Reserve National Capitol Reenlistment Ceremony, in the Kennedy Caucus Room of the Russell Senate Building, Washington, D.C. April 23, 2010.",
ww,077441,_ competing in a race with _,"Start of the 800 metres Semifinal at the 2009 World Championships in Athletics (_, _, and _ shown).",
ww,077792,_ competing in a ski match with _,"Norwegian biathlete _ (right) and Canadian biathlete _ in the pusuit at the Biathlon Junior World Championships 2016. _ finished 25th, and _ 33rd.",
ww,078588,_ reviewing a map with _,"CORAL SEA (June 22, 2007) &ndash; Brigadier _, commanding officer of Australian Army's 3rd Brigade and commander of Combined Force Land Component Command (CFLCC), and Rear Adm. _, commander of Expeditionary Strike Group 7 and deputy commander of Combined Force Maritime Component Command (DCFMCC), review the spread of forces within the exercise operational zone. Caligari and _ are the senior leaders for exercise _ 2007.",
ww,078762,_ jumping to get the soccer ball with _,"_ (Colombia) rises high to win aerial combat with _ (France)- France v Colombia - Womens Olympic Football Tournament London 2012 Group G at St. James Park, Newcastle - 31/7/2012 - (_ Sports Photography)",
ww,079673,_ huddling with _,_ huddling with his team and coach,
ww,080119,_ performing with _,"_ and The Freedom Fries at Popfest 2012 in Vienna, Austria.",
ww,080222,_ performing a concert with _,Farewell party for _ and farewell concert by _ and the _ (D). _ (in red shirt) did organize the Bardentreffen festival for 30 years for the city of Nuremberg and promoted the music scene in Franconia in manifold ways.,
ww,086098,_ racing _,"_ and 1st Lt. _ race toward the finish line during the men's 200 meter dash at the 2012 Warrior Games in Colorado Springs, Colo. _ took the silver medal in the event.",
ww,090856,_ passing an item to _,"NORFOLK (Jan. 10, 2009) Command Master Chief _, from the Navy's newest aircraft carrier USS George H. _ (CVN 77), passes the ""ceremonial long glass"" to former President _. _, the ship's namesake, during its commissioning ceremony at Naval Station Norfolk.",
ww,094135,_ stretching to shake hands with _,"Secretary of Defense _ and Prime Minister _ stretch to shake hands for the photographers as they meet in Tokyo, Japan, on Nov. 14, 2003. _ is in Japan to meet with U.S. military forces and local officials.",
ww,094228,_ supervising _ signing a book ,_ writing in the golden book of Cologne.,
ww,099417,_ waving to the crowd with _,Prince _ and Princess Sofia after the ceremony in the Royal Chapel and during the procession through central Stockholm. Princess Sofia wears a wedding gown designed by _.,
ww,099569,_ sitting side by side with _,"Gen. _ (left), chairman, Joint Chiefs of Staff, observes the Army full honors change of responsibility ceremony between retiring U.S. Army Chief of Staff Gen. _ and new U.S. Army Chief of Staff Gen. _ on Summerall Field Aug. 14 on the Fort Myer portion of Joint Base Myer-Henderson Hall. _ will retire Sept. 25 during a ceremony at Fort Myer. Marine Corps Commandant Gen. _ will become the next Joint Chiefs of Staff chairman following _ retirement.",
ww,100278,_ shaking hands with _,"TALLAHASSEE, FL-- (AP/Comtex - Mar 14, 2016) - inSpyr welcomes Floridas continued trail-blazing initiative for the second consecutive year, as Governor _ declares the week of March 14, Down Syndrome Awareness Week, also known as “DSAW”. ""Families affected by Trisomy21, like ourselves, cannot begin to express how deeply our gratitude reaches, as Governor _ executed the DSAW proclamation. "", _, VP of inSpyr, furthered, ""in hopes of driving awareness, thereby encouraging collaboration of research, knowledge and experiences amongst Florida’s families, healthcare and scientific communities."" Governor _ continues to bridge the resource gap for individuals with special needs to be able to realize their full potential both in their personal and professional lives, by and through his continuous support. _, CEO of inSpyr noted, ""_ promised Floridians jobs, and in accomplishing such goal, has and continues to build the foundation and tools necessary to make sure that all Floridians, including those with Down syndrome, are afforded every opportunity to build upon their unique abilities, thereby paving the way to economic independence.""",
ww,102667,_ administering the oath of office to _,"President _ (left) watches as _ (2nd from left) is administered the oath of office as the 22nd secretary of defense by Vice President _ (right) at a ceremony in the Pentagon in Arlington, Va., on Dec. 18, 2006. _€™ wife _ held the Bible for her husband during the ceremony.",
ww,102753,_ admiring a buffet with _,"U.S. Air Force Gen. _, Commander, U.S. European Command and NATO Supreme Allied Commander and U.S. Army Garrison Stuttgart Command Sgt. _. _ admire the spread of food that was prepared for the attendees of the annual National Prayer Breakfast which was held on Patch Barracks, Stuttgart, Germany on Feb. 11, 2015.",
ww,103373,_ tacking _,"_ tackling _ during the AFL round twelve match between Carlton and Greater Western Sydney on 11 June 2017 at Etihad Stadium in Melbourne, Victoria.",
ww,104507,_ holding hands and gesturing to the crowd with _,"_ (born June 7, 1959) is an American politician and lawyer and the 48th Vice President of the United States. Pence was elected to the United States Congress in 2000 and represented Indiana's 2nd congressional district and Indiana's 6th congressional district in the United States House of Representatives from 2001 to 2013. Pence positioned himself as a principled ideologue and supporter of the Tea Party movement, noting he was ""a Christian, a conservative, and a Republican, in that order."" On November 8, 2016, _ was elected as Vice President, after he dropped out of his gubernatorial re-election campaign in July to become the vice presidential running mate for Republican presidential nominee _, who went on to win the presidential election. Speakers have included _, 2][3][4] _, [5] _, [6] _, [7] _, _, [5] _, _, [8] _, [5] _, [5] _, [9] _, [10] _, [6] _, [11] _, [12] _, _, _, [13 _, _, _, _, and other conservative public figures.",
ww,106274,_ performing a duet with _,"_ and _, from X Japan, duets at Japan Expo 2010 (Paris, France).",
ww,106590,_ congratulating _,"Former communist party leader _ accepts congratulations from his fellow comrades on May 1st, 2006.",
ww,108159,_ guiding _ in drawing,"Comic book creator _ supervises artists attending his June 12, 2011 figure drawing class at the LGBT Center in Manhattan.",
ww,108293,_ carrying a casket with _,"Members of the U.S. Air Force Honor Guard carry the casket of U.S. Air Force Medal of Honor recipient _ to his grave in Arlington National Cemetery where he will be buried with full military honors on Nov. 17, 2000. _ earned the medal as an airman 1st class serving as loadmaster aboard a severely damaged AC-47 gunship flying a mission over Long Binh, South Vietnam, on Feb. 24, 1969. _ died at his home in Connecticut on Nov. 8, 2000, after a lengthy battle with cancer.",
ww,110133,_ giving a speech to _,"New England College will host a Town Hall Meeting for Republican presidential candidate Senator _, Wednesday, February 3, 2016, at 10:00 AM, in the Simon Center Great Room, located on NEC’s Henniker campus. Cruz’s Town Hall Meeting is the thirteenth in a series of NEC Town Hall Meetings featuring announced presidential candidates, leading up to New Hampshire’s First in the Nation Presidential Primary (#FITN). HENNIKER, N.H. — _ is feeling the Bern. At a town-hall-style event in New Hampshire on Wednesday, the Texas senator identified _ as an unlikely kindred spirit while describing the failings of Washington. “Actually in diagnosing the problem, I agree in many ways with _, ” Mr. _ said. “Media folks, they’re very puzzled when they say, ‘_, _, you sound exactly like _ saying it is all big money and lobbyists and corruption.’ Well, you know what? Washington is corrupt.” Mr. _ repeated a familiar campaign refrain: that the country’s greatest political divide is not between Republicans and Democrats but between “career politicians” from both parties and the people they represent. Eventually, Mr. _ did get around to the caveat: He and Mr. _, whose platform includes myriad tax hikes and tuition-free college, disagree on virtually every policy remedy. “His solution is, ‘So we need even more Washington, we need the government to take over even more of the economy and our lives, ’” Mr. _ said. “I think that solution is nuts.” Mr. _ has long been a target of gentle ridicule from Mr. _ on the stump, though his most pointed vitriol is almost always reserved for President _ and _. After his victory in the Iowa caucuses victory on Monday, Mr. _ allowed himself a peek at the vote tallies across the aisle. “The Democrats here seem to be in a virtual tie between one candidate who admits he’s a socialist and the other candidate who pretends she’s not, ” Mr. _ said to laughs.",
ww,110692,_ shaking hands with _,"Gen. _, Multi-National Force - Iraq commanding general, wishes a merry Christmas to Spc. _, radio telephone operator for Alpha Company, 1st Battalion, 21st Infantry Regiment, 25th Infantry Division, during a visit to Combat Outpost Agur Quf, Iraq, Christmas Day.",
ww,114341,_ showing _ how the gamma detector works,"Maj. _, deputy, Nuclear Disablement Team 3, explains to Maj. Gen. _, director of Army Operations, Readiness and Mobilization, how a detector called the Sodium Iodide Gamma Ray Scintallator - or gamma detector, works and why NDTs use that particular model. ""The capabilities you bring are unique for our Army and our nation, "" _ said as he addressed the group following the capabilities demonstration.",
ww,116131,_ tossing lanyards to a crowd with _,"Lt. Gen. _, the commander of Marine Forces Reserve and Marine Forces North, Maj. _, _ aide-de-camp, and Sgt. _. _, the sergeant major of MARFORRES and MARFORNORTH, toss Marine Corps lanyards to the public below them at Championship Square outside the Mercedes-Benz Superdome during military appreciation day Sunday, Dec. 4.",
ww,116232,_ wrestling with _,"_ hoists _ on his shoulders to deliver his finishing maneuver Shell Shocked during the April 7, 2014 episode of WWE Raw.",
ww,116693,_ consulting with _,"Australian Minister of Defense _ (left) and Secretary of Defense _ (right) consult during a break at the annual Australia-United States Ministerial Consultations in Sydney, Australia, on July 31, 1998.",
ww,116795,_ shaking hands with _,"Secretary of Defense _ mingles among the airmen and their families that gathered to hear him at Aviano Air Base, Italy, April 8, 1999. Italian Defense Minister _ and Vice Chairman of the Joint Chiefs of Staff Gen. _, U.S. Air Force, also addressed the approximately 200 pilots, aircrew and support personnel involved in NATO Operation Allied Force at Aviano.",
ww,117416,_ shaking hands with _,— _ had a meeting with Minister of Foreign Affairs and International Development of France _.,
ww,118661,_ applauding _,"Secretary of Defense _ applauds former Deputy Secretary of Defense _ after presenting _ the Distinguished Public Service Award at a farewell ceremony in honor of _ in the Pentagon, in Arlington, Va., on Oct. 13, 2011.",
ww,119772,_ attacking _ in a basketball game,_ attacks _ in the 2015 McDonald's All-American Boys Game,
ww,120580,_ dancing with _,"Dancers _ and _ doing the ""One Man Dance"" at Masters of Lindy Hop and Tap, Century Ballroom, Oddfellows Temple, Pine Street, Capitol Hill, Seattle, Washington, USA.",
ww,120822,_ dancing with _,"_ and _ dancing during ABS-CBN's concert tour ""One Kapamilya Go"" in Toronto, Ontario on June 21, 2014",
ww,121005,_ answering questions from _,"Former Astronaut _ leans in to hear a question from a female Afghan Air Force candidate during a meet and greet at Camp Eggers, Kabul, Aug. 16, home of the NATO Training Mission - Afghanistan. _ and _ spoke to the small group of AAF students during the United Service Organization's Living Legends of Aerospace tour.",
ww,121881,_ racing bicycles with _,"_ set the pace on the Côte de Burs, 4th stage of the Route du Sud 2012 arround _.",
ww,122016,_ putting a medal on _,President _ decorating former Air Force Commander-in-Chief (December 1984 - July 1990) and Deputy Defence Minister of the USSR Air Marshal _ with the Order of Courage.,
ww,122455,_ pinning a medal on _,"Maj. _, the outgoing sergeant major of Marine Corps Installations East - Marine Corps Base Camp Lejeune, is pinned with the Legion of Merit, Gold Star in lieu of second award, by Maj. Gen. _, 1st Marine Division commanding general, at the Sergeant Major relief and appointment ceremony at the Goettge Memorial Field House aboard Marine Corps Base Camp Lejeune, March 28. _ retired after 30 years of active duty service and relinquished all duties to Sgt. _ _ during the ceremony.",
ww,124109,_ shaking hands with _,"Maj. of the Army _ chats with Soldiers in Advanced Individual Training at the 369th Adjutant General Battalion dining facility during his visit to Fort Jackson, S.C., Tuesday. In addition to meeting Soldiers, _ spoke at the Maude Leadership Lecture and attended the Drill Sergeant School change of responsibility.",
ww,124169,_ planting trees with _,_ and XXX planting olive trees (?).,
ww,124294,_ bestowing a medal to _,"U.S. Army Chief of Staff Gen. _ (far right) bestows the Legion of Merit (Degree of Commander) to Japanese Ground Self-Defense Force Chief of Staff Gen. _, Sept. 27, 2012, at Joint Base Myer-Henderson Hall, Va. _ received the award for promoting family welfare through the development of a Japan Ground Self-Defense Force family support structure.",
ww,124777,_ presenting a medal to _,"Maj. _, 2nd Marine Division's outgoing sergeant major, is presented a Bronze Star Medal during a relief and appointment ceremony here June 9 for his exceptional service to the division. _ will be the II Marine Expeditionary Force sergeant major while Sgt. _. _ assumes his new leadership role as 2nd Marine Division's sergeant major.",
ww,125409,_ saluting _,"5, 2009) - Rear Adm. _ relieves _. _ as commander of Expeditionary Strike Group (ESG) 2 and Combined Task Force (CTF) 151 aboard USS Boxer (LHD-4), April 5.",
ww,125559,_ watching a video on a laptop with _,"_, _ and _ share scenes from their movies and television appearances with U.S. Army Col. _, Area Support Group Qatar commander, at Camp As Sayliyah, Qatar, March 11.",
ww,126226,_ briefing _,"U.S. Army Col. _, right, briefs Gen. _, seated center, the chief of the National Guard Bureau, in Oklahoma City May 28, 2013, on the recovery effort in Moore, Okla., in the wake of a May 20, 2013, tornado.",
ww,126640,_ administering an eye test to _,"Here, _ is testing _’s intraocular pressure.",
ww,128399,_ interviewing _,"Orange Beach, Ala. (July 7, 2010) Secretary of the Navy (SECNAV) the Honorable _, center, Orange Beach Mayor _, left, and U.S. Senator _ speak with the press in Orange Beach, Ala. _ is continuing his to tour of the region to create a long-term plan for the restoration of the Gulf Coast. President _ asked _, as the former Gov.",
ww,130030,_ giving signatures to _,"Persian Gulf (April 6, 2006) &ndash; Nimitz-class aircraft carrier USS _ (CVN 76) Sailors collect signatures from three National Football League (NFL) superstars during their recent visit. Pittsburgh Steelers _, Atlanta Falcons _ and Seattle Seahawks _, are supporting Sailors as part of the United Service&rsquo;s Organization (USO) and NFL&rsquo;s 40th Anniversary Tour. _ and embarked Carrier Air Wing One Four (CVW-14) are currently on a deployment conducting Maritime Security Operations (MSO) in support of the global war on terrorism.",
ww,130044,_ shaking _'s hand,"Chief of Staff of the Army Gen. _ recognizes Pfc. _, a utilities equipment repairer, 94th Army Air and Missile Defense Command, U.S. Army Pacific, during his visit to the 94th AAMDC’s Headquarters, Feb. 11, 2015, at Joint Base Pearl Harbor-Hickam, Hawaii. _ participated in a leadership development program Shadow the CG, which allowed her to follow Brig. Gen. _, commander of the 94th AAMDC, for a full day. _, 94th AAMDC Public Affairs)",
ww,130281,_ presenting with _,_ and _ presenting.,
ww,138473,_ recording a podcast with _,"_ and _ record The Daily Giz Wiz podcast at the grand opening of the TWiT Brickhouse studio in Petaluma, California, July 24, 2011.",
ww,138959,_ juggling fruit with _,"_ of NASA (left), _ of ESA (European Space Agency) (middle) and _ of NASA (right) juggle some of the newly arrived fruit aboard the International Space Station.",
ww,140857,_ signing an agreement with _,_ Algerian Maghreb Affairs Minister _ (left) and Tunisian foreign affairs official _ (right) co-chaired a bilateral co-operation committee session.,
ww,141355,_ saluting with _,"President _, accompanied by outgoing PNP Chief P/DG _, troops the line to signal the start of the testimonial ceremony in honor of Police Director General (P/DG) _ at the Grandstand of the PNP at the PNP General Headquarters, Camp Crame in Quezon City on Tuesday (June 28).",
ww,143192,_ performing in a play with _,"_, _, _, _ and _ in the Copenhagen theater Folketeatret's production of the play ""Lille mand hvad nu?"" (_ – was nun?) bases on the novel by _.",
ww,144862,_ pinning a medal on _,"Lt. Gen. _, Air Force judge advocate general, pins the Meritorious Service Medal on Col. _ in a Pentagon ceremony April 28, 2009. In addition to being a U.S. senator from South Carolina, Colonel _ is an individual mobilization augmentee and the senior instructor at the Air Force JAG School at Maxwell Air Force Base, Ala",
ww,145317,_ talking with _ while seated,"_ is an Iranian engineer, academic and reformist politician who is currently parliamentary leader of reformists' Hope fraction in the Iranian Parliament, representing Tehran, Rey, _ and _. _ has also been heading the Reformists' Supreme Council for Policymaking since its establishment in 2015.",
ww,145847,_ shaking hands with _,"WASHINGTON (Jan. 6, 2009) Adm. _, chairman of the Joint Chiefs of Staff, is greeted by Staff Brig. Gen. _, left, Iraqi Defense Attache, and _, Iraqi Ambassador to the U.S., at the celebration marking the 88th anniversary of the creation of the Iraqi armed forces. _ thanked the Iraqi people for their sacrifices and reiterated the bond that the two countries have in defending democratic principles.",
ww,148543,_ cooking at a barbecue with _,"Foreign Secretary with Australian Foreign Minister _ and the Queensland Premier _ cooking at the barbecue for affected residents and volunteers at the community breakfast at Orleigh Park, West End, Brisbane.",
ww,150668,_ pointing out features of the flight deck to _,"_, commanding officer of the aircraft carrier USS _ (CVN 75), points out features of the flight deck to Capt. _, commanding officer of the French frigate _ (D615) during a one-day embark aboard the ship.",
ww,150847,_ joking with _,President _ jokes with Chicago Bulls players _ and _.,
ww,151408,_ gazing out at the landscape with _,"Deputy Defense Secretary _ and Navy Adm. _, commander of U.S. Pacific Command, view the panorama from Locklear's office on Camp H.M. Smith, Hawaii, July 18, 2012.",
ww,153125,_ evading _,"_ evading _ during the AFL round thirteen match between Richmond and Sydney on 17 June 2017 at the Melbourne Cricket Ground in Melbourne, Victoria.",
ww,155944,_ shaking hands with _,"Secretary of Defense _, right, offers a warm welcome to Chinese State Councilor _ as they prepare to sit down for a meeting in the Pentagon in Arlington, Va., on July 12, 2013. _ and _ have a shared history and friendship that stretches back many years to their previous positions in government service.",
ww,161763,_ voting in an election with _,_ and his son are voting in 2013 Iranian presidential election in Shemiranat election zone.,
ww,161774,_ posing for a photo with _,"President _ flashes his signature pose with (from left) boxing coach _, International Boxing Federation (IBF) junior bantamweight champion _, and World Boxing Organization (WBO) international minimum weight champion _ who paid a courtesy call on the President in Malacañan Palace on December 5, 2017.",
